Experiment;Depth;Sample date;Time (years);ambient CO2 (mean);increased CO2 (mean);ambient CO2 (n);increased CO2 (n);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArizonaFACE - wheat - high N;0-15 cm;nov. 1995;0.0;1344;1228;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArizonaFACE - wheat - high N;0-15 cm;may 1996;0.5;1363;1305;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArizonaFACE - wheat - high N;0-15 cm;dec. 1996;1.0;1254;1264;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArizonaFACE - wheat - high N;0-15 cm;may 1997;1.5;1258;1400;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 2;0-25 cm;average 1999;0;5950;6362;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 2;0-25 cm;average 2000;1;5254;4735;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 2;0-25 cm;average 2001;2;6084;4785;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 2;0-25 cm;average 2002;3;5470;4064;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 2;0-25 cm;average 2003;4;5335;4220;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China FACE - low N;0-15 cm;mar. 2008;3.66;1937;2192;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China FACE - low N;0-15 cm;jun. 2008;4.00;1937;2123;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China FACE - high N;0-15 cm;mar. 2008;3.66;1926;2135;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China FACE - high N;0-15 cm;jun. 2008;4.00;1937;2105;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;jul. 2005;0.33;1103;1168;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;nov. 2005;0.67;1036;1097;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;apr. 2006;1.00;1936;2385;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;aug. 2006;1.33;2319;2218;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;nov. 2006;1.66;2060;2051;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;apr. 2007;2.00;2431;2301;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;aug. 2007;2.33;2263;2361;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;nov. 2007;2.66;2116;2158;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;apr. 2008;3.00;3625;3315;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;aug. 2008;3.33;3253;3279;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;0-20 cm;nov. 2008;3.66;3287;3410;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;jul. 2005;0.33;1201;1198;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;nov. 2005;0.67;922;1409;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;apr. 2006;1.00;1930;2373;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;aug. 2006;1.33;1951;2514;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;nov. 2006;1.66;1587;3054;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;apr. 2007;2.00;2015;3030;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;aug. 2007;2.33;2273;2725;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;nov. 2007;2.66;2187;2702;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;apr. 2008;3.00;3602;3947;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;aug. 2008;3.33;3581;4170;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;0-20 cm;nov. 2008;3.66;3645;4158;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS I;0-15 cm;aug. 1996;0.00;1977;2142;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS I;0-15 cm;oct. 1999;3.17;1902;2208;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS I;0-15 cm;aug. 2002;6.00;2407;2734;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS I;0-15 cm;aug. 2006;9.00;2164;2096;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2001;4.00;3575;3562;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2003;6.00;3625;4435;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2004;7.00;3235;3243;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen;0-10 cm;2005;8.00;3741;3506;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
